n_stores,generation,generation_avg_fit,gene_idx,gene_fit,x_store,y_store,store_type
32,0,2978.166016,198,3560.846191,550.000000,580.000000,BIG
32,0,2978.166016,198,3560.846191,80.000000,260.000000,BIG
32,0,2978.166016,198,3560.846191,10.000000,60.000000,SMALL
32,0,2978.166016,198,3560.846191,290.000000,520.000000,BIG
32,0,2978.166016,198,3560.846191,230.000000,190.000000,BIG
32,0,2978.166016,198,3560.846191,470.000000,780.000000,BIG
32,0,2978.166016,198,3560.846191,350.000000,120.000000,BIG
32,0,2978.166016,198,3560.846191,170.000000,60.000000,BIG
32,0,2978.166016,198,3560.846191,510.000000,470.000000,SMALL
32,0,2978.166016,198,3560.846191,270.000000,720.000000,BIG
32,0,2978.166016,198,3560.846191,420.000000,570.000000,BIG
32,0,2978.166016,198,3560.846191,180.000000,420.000000,BIG
32,0,2978.166016,198,3560.846191,60.000000,210.000000,SMALL
32,0,2978.166016,198,3560.846191,530.000000,300.000000,BIG
32,0,2978.166016,198,3560.846191,90.000000,620.000000,BIG
32,0,2978.166016,198,3560.846191,260.000000,180.000000,BIG
32,0,2978.166016,198,3560.846191,430.000000,120.000000,BIG
32,0,2978.166016,198,3560.846191,480.000000,20.000000,SMALL
32,0,2978.166016,198,3560.846191,280.000000,640.000000,BIG
32,0,2978.166016,198,3560.846191,460.000000,580.000000,SMALL
32,0,2978.166016,198,3560.846191,530.000000,210.000000,SMALL
32,0,2978.166016,198,3560.846191,50.000000,190.000000,SMALL
32,0,2978.166016,198,3560.846191,450.000000,60.000000,SMALL
32,0,2978.166016,198,3560.846191,450.000000,300.000000,BIG
32,0,2978.166016,198,3560.846191,280.000000,20.000000,BIG
32,0,2978.166016,198,3560.846191,140.000000,660.000000,SMALL
32,0,2978.166016,198,3560.846191,380.000000,520.000000,BIG
32,0,2978.166016,198,3560.846191,340.000000,540.000000,SMALL
32,0,2978.166016,198,3560.846191,380.000000,50.000000,SMALL
32,0,2978.166016,198,3560.846191,120.000000,190.000000,BIG
32,0,2978.166016,198,3560.846191,130.000000,570.000000,SMALL
32,0,2978.166016,198,3560.846191,500.000000,70.000000,BIG
32,0,2978.166016,115,3532.636719,330.000000,660.000000,BIG
32,0,2978.166016,115,3532.636719,30.000000,370.000000,SMALL
32,0,2978.166016,115,3532.636719,250.000000,760.000000,BIG
32,0,2978.166016,115,3532.636719,190.000000,490.000000,BIG
32,0,2978.166016,115,3532.636719,20.000000,230.000000,SMALL
32,0,2978.166016,115,3532.636719,430.000000,500.000000,SMALL
32,0,2978.166016,115,3532.636719,570.000000,460.000000,SMALL
32,0,2978.166016,115,3532.636719,150.000000,360.000000,BIG
32,0,2978.166016,115,3532.636719,160.000000,610.000000,BIG
32,0,2978.166016,115,3532.636719,540.000000,160.000000,SMALL
32,0,2978.166016,115,3532.636719,50.000000,250.000000,SMALL
32,0,2978.166016,115,3532.636719,110.000000,200.000000,BIG
32,0,2978.166016,115,3532.636719,190.000000,460.000000,BIG
32,0,2978.166016,115,3532.636719,180.000000,100.000000,BIG
32,0,2978.166016,115,3532.636719,10.000000,330.000000,SMALL
32,0,2978.166016,115,3532.636719,330.000000,440.000000,SMALL
32,0,2978.166016,115,3532.636719,490.000000,560.000000,BIG
32,0,2978.166016,115,3532.636719,530.000000,670.000000,BIG
32,0,2978.166016,115,3532.636719,400.000000,90.000000,SMALL
32,0,2978.166016,115,3532.636719,400.000000,790.000000,SMALL
32,0,2978.166016,115,3532.636719,590.000000,120.000000,BIG
32,0,2978.166016,115,3532.636719,60.000000,470.000000,SMALL
32,0,2978.166016,115,3532.636719,460.000000,470.000000,SMALL
32,0,2978.166016,115,3532.636719,20.000000,630.000000,BIG
32,0,2978.166016,115,3532.636719,470.000000,30.000000,BIG
32,0,2978.166016,115,3532.636719,10.000000,760.000000,SMALL
32,0,2978.166016,115,3532.636719,340.000000,260.000000,BIG
32,0,2978.166016,115,3532.636719,390.000000,320.000000,SMALL
32,0,2978.166016,115,3532.636719,380.000000,400.000000,SMALL
32,0,2978.166016,115,3532.636719,250.000000,220.000000,BIG
32,0,2978.166016,115,3532.636719,270.000000,210.000000,SMALL
32,0,2978.166016,115,3532.636719,460.000000,410.000000,SMALL
32,0,2978.166016,26,3461.778809,90.000000,50.000000,BIG
