n_stores,generation,generation_avg_fit,gene_idx,gene_fit,x_store,y_store,store_type
20,0,2387.410889,187,3017.654541,370.000000,80.000000,BIG
20,0,2387.410889,187,3017.654541,90.000000,270.000000,BIG
20,0,2387.410889,187,3017.654541,200.000000,210.000000,SMALL
20,0,2387.410889,187,3017.654541,320.000000,330.000000,SMALL
20,0,2387.410889,187,3017.654541,350.000000,420.000000,BIG
20,0,2387.410889,187,3017.654541,130.000000,550.000000,BIG
20,0,2387.410889,187,3017.654541,290.000000,240.000000,SMALL
20,0,2387.410889,187,3017.654541,100.000000,260.000000,BIG
20,0,2387.410889,187,3017.654541,260.000000,360.000000,BIG
20,0,2387.410889,187,3017.654541,290.000000,740.000000,BIG
20,0,2387.410889,187,3017.654541,160.000000,300.000000,BIG
20,0,2387.410889,187,3017.654541,540.000000,350.000000,BIG
20,0,2387.410889,187,3017.654541,470.000000,30.000000,BIG
20,0,2387.410889,187,3017.654541,140.000000,610.000000,BIG
20,0,2387.410889,187,3017.654541,130.000000,70.000000,BIG
20,0,2387.410889,187,3017.654541,210.000000,750.000000,SMALL
20,0,2387.410889,187,3017.654541,30.000000,720.000000,BIG
20,0,2387.410889,187,3017.654541,450.000000,300.000000,SMALL
20,0,2387.410889,187,3017.654541,510.000000,230.000000,SMALL
20,0,2387.410889,187,3017.654541,530.000000,730.000000,SMALL
20,0,2387.410889,118,2983.280518,150.000000,730.000000,SMALL
20,0,2387.410889,118,2983.280518,430.000000,580.000000,BIG
20,0,2387.410889,118,2983.280518,80.000000,180.000000,BIG
20,0,2387.410889,118,2983.280518,290.000000,290.000000,BIG
20,0,2387.410889,118,2983.280518,330.000000,440.000000,SMALL
20,0,2387.410889,118,2983.280518,30.000000,710.000000,SMALL
20,0,2387.410889,118,2983.280518,290.000000,790.000000,SMALL
20,0,2387.410889,118,2983.280518,500.000000,370.000000,BIG
20,0,2387.410889,118,2983.280518,160.000000,60.000000,SMALL
20,0,2387.410889,118,2983.280518,420.000000,190.000000,SMALL
20,0,2387.410889,118,2983.280518,150.000000,550.000000,BIG
20,0,2387.410889,118,2983.280518,560.000000,600.000000,BIG
20,0,2387.410889,118,2983.280518,510.000000,520.000000,SMALL
20,0,2387.410889,118,2983.280518,290.000000,190.000000,SMALL
20,0,2387.410889,118,2983.280518,520.000000,270.000000,SMALL
20,0,2387.410889,118,2983.280518,480.000000,720.000000,BIG
20,0,2387.410889,118,2983.280518,440.000000,380.000000,BIG
20,0,2387.410889,118,2983.280518,20.000000,500.000000,BIG
20,0,2387.410889,118,2983.280518,60.000000,690.000000,BIG
20,0,2387.410889,118,2983.280518,70.000000,250.000000,BIG
20,0,2387.410889,11,2959.593506,290.000000,670.000000,BIG
20,0,2387.410889,11,2959.593506,460.000000,190.000000,BIG
20,0,2387.410889,11,2959.593506,140.000000,750.000000,BIG
20,0,2387.410889,11,2959.593506,220.000000,470.000000,BIG
20,0,2387.410889,11,2959.593506,250.000000,200.000000,BIG
20,0,2387.410889,11,2959.593506,100.000000,260.000000,BIG
20,0,2387.410889,11,2959.593506,50.000000,40.000000,BIG
20,0,2387.410889,11,2959.593506,340.000000,720.000000,SMALL
20,0,2387.410889,11,2959.593506,240.000000,570.000000,BIG
20,0,2387.410889,11,2959.593506,300.000000,400.000000,SMALL
20,0,2387.410889,11,2959.593506,340.000000,80.000000,BIG
20,0,2387.410889,11,2959.593506,320.000000,730.000000,SMALL
20,0,2387.410889,11,2959.593506,430.000000,30.000000,BIG
20,0,2387.410889,11,2959.593506,150.000000,680.000000,BIG
20,0,2387.410889,11,2959.593506,470.000000,670.000000,BIG
20,0,2387.410889,11,2959.593506,380.000000,190.000000,SMALL
20,0,2387.410889,11,2959.593506,400.000000,540.000000,BIG
20,0,2387.410889,11,2959.593506,230.000000,30.000000,SMALL
20,0,2387.410889,11,2959.593506,180.000000,380.000000,SMALL
20,0,2387.410889,11,2959.593506,120.000000,350.000000,BIG
20,0,2387.410889,41,2959.486572,220.000000,720.000000,SMALL
20,0,2387.410889,41,2959.486572,500.000000,20.000000,SMALL
20,0,2387.410889,41,2959.486572,430.000000,330.000000,SMALL
20,0,2387.410889,41,2959.486572,340.000000,780.000000,SMALL
20,0,2387.410889,41,2959.486572,300.000000,590.000000,BIG
20,0,2387.410889,41,2959.486572,530.000000,0.000000,SMALL
20,0,2387.410889,41,2959.486572,0.000000,620.000000,BIG
20,0,2387.410889,41,2959.486572,80.000000,340.000000,BIG
20,0,2387.410889,41,2959.486572,350.000000,80.000000,BIG
20,0,2387.410889,41,2959.486572,550.000000,530.000000,SMALL
20,0,2387.410889,41,2959.486572,390.000000,150.000000,BIG
20,0,2387.410889,41,2959.486572,480.000000,610.000000,SMALL
20,0,2387.410889,41,2959.486572,180.000000,120.000000,BIG
20,0,2387.410889,41,2959.486572,560.000000,630.000000,BIG
20,0,2387.410889,41,2959.486572,590.000000,580.000000,SMALL
20,0,2387.410889,41,2959.486572,450.000000,530.000000,BIG
20,0,2387.410889,41,2959.486572,540.000000,370.000000,SMALL
20,0,2387.410889,41,2959.486572,110.000000,430.000000,SMALL
20,0,2387.410889,41,2959.486572,250.000000,320.000000,BIG
20,0,2387.410889,41,2959.486572,520.000000,190.000000,BIG
20,0,2387.410889,84,2959.255371,400.000000,70.000000,SMALL
20,0,2387.410889,84,2959.255371,280.000000,290.000000,BIG
20,0,2387.410889,84,2959.255371,40.000000,650.000000,SMALL
20,0,2387.410889,84,2959.255371,200.000000,150.000000,SMALL
20,0,2387.410889,84,2959.255371,150.000000,290.000000,SMALL
20,0,2387.410889,84,2959.255371,430.000000,410.000000,BIG
20,0,2387.410889,84,2959.255371,460.000000,570.000000,BIG
20,0,2387.410889,84,2959.255371,530.000000,210.000000,BIG
20,0,2387.410889,84,2959.255371,510.000000,770.000000,BIG
20,0,2387.410889,84,2959.255371,330.000000,340.000000,BIG
20,0,2387.410889,84,2959.255371,550.000000,130.000000,SMALL
20,0,2387.410889,84,2959.255371,130.000000,430.000000,BIG
20,0,2387.410889,84,2959.255371,80.000000,290.000000,BIG
20,0,2387.410889,84,2959.255371,50.000000,430.000000,BIG
20,0,2387.410889,84,2959.255371,0.000000,380.000000,SMALL
20,0,2387.410889,84,2959.255371,570.000000,160.000000,BIG
20,0,2387.410889,84,2959.255371,260.000000,700.000000,BIG
20,0,2387.410889,84,2959.255371,280.000000,760.000000,BIG
20,0,2387.410889,84,2959.255371,150.000000,160.000000,BIG
20,0,2387.410889,84,2959.255371,210.000000,630.000000,BIG
20,0,2387.410889,34,2925.919434,40.000000,500.000000,BIG
20,0,2387.410889,34,2925.919434,340.000000,490.000000,BIG
20,0,2387.410889,34,2925.919434,460.000000,0.000000,BIG
20,0,2387.410889,34,2925.919434,210.000000,600.000000,BIG
20,0,2387.410889,34,2925.919434,480.000000,780.000000,SMALL
20,0,2387.410889,34,2925.919434,90.000000,140.000000,BIG
20,0,2387.410889,34,2925.919434,130.000000,100.000000,SMALL
20,0,2387.410889,34,2925.919434,170.000000,0.000000,SMALL
20,0,2387.410889,34,2925.919434,260.000000,280.000000,BIG
